Lat,Lon
36.786224,-76.33069
36.778057,-76.28668
36.769882,-76.24274
36.761696,-76.19879
36.75348,-76.15485
36.745262,-76.11093
36.737007,-76.06702
36.728752,-76.0231
36.72047,-75.97919
36.712177,-75.9353
36.703865,-75.89142
36.695538,-75.847565
36.687195,-75.80371
36.67882,-75.75986
36.67044,-75.716
36.66205,-75.67218
36.653633,-75.62836
36.645206,-75.584564
36.63676,-75.54077
36.628296,-75.49698
36.61981,-75.453186
36.611313,-75.409424
36.602795,-75.36566
36.594273,-75.32193
36.58572,-75.2782
36.577152,-75.23447
36.568565,-75.190735
36.559975,-75.14703
36.551353,-75.10333
36.54272,-75.05966
36.534065,-75.01599
36.525414,-74.97232
36.516727,-74.92865
36.508015,-74.88501
36.499306,-74.84137
36.49057,-74.79776
36.481823,-74.75415
36.473057,-74.71054
36.46428,-74.66696
36.45547,-74.62335
36.446655,-74.5798
36.437817,-74.536255
36.42897,-74.492676
36.42011,-74.44916
36.411224,-74.40564
36.40232,-74.36212
36.3934,-74.3186
36.384464,-74.275085
36.37551,-74.23163
36.366543,-74.18814
36.35756,-74.14465
36.348557,-74.10123
36.339542,-74.05777
36.33051,-74.01434
36.32146,-73.97092
36.31239,-73.92749
36.303307,-73.884094
36.294216,-73.8407
36.285084,-73.79733
36.275955,-73.75397
36.266804,-73.7106
36.257633,-73.66727
36.24846,-73.62393
36.23925,-73.5806
36.23003,-73.53729
36.220806,-73.49399
36.211548,-73.45068
36.202282,-73.40741
36.193,-73.364136
36.183693,-73.32089
36.17438,-73.27765
36.16505,-73.234406
36.155704,-73.19116
36.146336,-73.14795
36.13695,-73.10474
36.127556,-73.061554
36.118137,-73.01837
36.108707,-72.97522
36.099255,-72.93204
36.089794,-72.888885
36.080307,-72.845764
36.07081,-72.80261
36.105667,-72.79086
36.140522,-72.77908
36.175373,-72.7673
36.210228,-72.75549
36.24508,-72.74368
36.279934,-72.73187
36.314785,-72.72003
36.349644,-72.70819
36.384495,-72.69632
36.419346,-72.68445
36.45421,-72.67258
36.489048,-72.660706
36.523903,-72.6488
36.55875,-72.63687
36.593605,-72.62494
36.62846,-72.61301
36.663307,-72.601074
36.698154,-72.58911
36.733,-72.57715
36.767857,-72.565155
36.8027,-72.55316
36.837555,-72.54117
36.872406,-72.529144
36.90724,-72.51712
36.942093,-72.505066
36.976936,-72.49304
37.01178,-72.48096
37.046627,-72.46887
37.081474,-72.45679
37.116318,-72.4447
37.15117,-72.43262
37.186005,-72.42047
37.220848,-72.408356
37.255688,-72.39621
37.290527,-72.38403
37.325367,-72.37189
37.36021,-72.35971
37.395042,-72.3475
37.429886,-72.33533
37.46472,-72.32309
37.49956,-72.31085
37.534397,-72.298645
37.569233,-72.28638
37.604065,-72.27411
37.6389,-72.26184
37.673733,-72.24957
37.708565,-72.237274
37.7434,-72.224976
37.778233,-72.21265
37.81307,-72.20032
37.84789,-72.18796
37.88272,-72.1756
37.91755,-72.16324
37.95237,-72.15085
37.98719,-72.13846
38.022026,-72.12604
38.056843,-72.11365
38.091667,-72.1012
38.126488,-72.088745
38.16131,-72.076294
38.196133,-72.06384
38.230953,-72.05136
38.265762,-72.03888
38.30058,-72.02637
38.335396,-72.013855
38.370216,-72.00134
38.405037,-71.9888
38.43984,-71.97626
38.474648,-71.963684
38.50946,-71.95111
38.544273,-71.93851
38.579075,-71.9259
38.613884,-71.9133
38.648693,-71.900696
38.68349,-71.88803
38.718292,-71.8754
38.753105,-71.86273
38.7879,-71.85004
38.822693,-71.83737
38.85749,-71.82468
38.892292,-71.81195
38.92709,-71.799225
38.961884,-71.7865
38.996674,-71.77374
39.03147,-71.76099
39.066265,-71.7482
39.101048,-71.73541
39.13583,-71.722626
39.170612,-71.70981
39.205402,-71.69699
39.240192,-71.68414
39.274967,-71.671295
39.30975,-71.65845
39.34452,-71.64557
39.3793,-71.63266
39.414074,-71.61975
39.44885,-71.60684
39.48362,-71.59393
39.51839,-71.58099
39.553165,-71.56802
39.587936,-71.55505
39.62269,-71.54208
39.657463,-71.52908
39.692223,-71.51608
39.726982,-71.50305
39.761745,-71.49005
39.796497,-71.47699
39.831257,-71.46393
39.86601,-71.45087
39.900764,-71.437805
39.935513,-71.42468
39.970264,-71.41159
40.00501,-71.39847
40.03975,-71.385315
40.0745,-71.37219
40.109245,-71.35901
40.143982,-71.345825
40.178715,-71.33264
40.213455,-71.31946
40.248188,-71.306244
40.282917,-71.29303
40.317646,-71.279785
40.35238,-71.26654
